Date,Open,High,Low,Close,Volume
12/05/2023,"262.50","263.25","256.75","259.00","32,211,359"
12/04/2023,"261.50","264.00","258.50","262.00","40,460,793"
12/01/2023,"255.50","260.75","253.00","260.75","46,030,930"
11/30/2023,"255.00","256.50","249.90","251.00","32,022,789"
11/29/2023,"261.50","262.25","255.00","255.00","34,628,008"
11/28/2023,"261.50","264.25","259.75","261.00","35,398,273"
11/27/2023,"260.75","262.25","257.25","260.50","40,747,328"
11/24/2023,"261.00","263.50","259.00","259.75","33,551,320"
11/23/2023,"262.25","267.75","259.50","260.75","62,103,113"
11/22/2023,"268.50","268.75","260.50","262.00","34,890,340"
11/21/2023,"256.00","269.25","254.25","268.50","71,142,656"
11/20/2023,"257.00","260.50","254.25","254.75","36,869,621"
11/17/2023,"244.20","255.25","243.90","254.25","48,829,859"
11/16/2023,"235.70","244.30","235.40","244.30","43,097,449"
11/15/2023,"237.90","238.30","234.80","235.60","35,954,809"
11/14/2023,"233.00","237.90","232.90","237.10","38,012,980"
11/13/2023,"231.00","240.00","228.70","232.20","57,548,020"
11/10/2023,"230.30","231.70","228.20","229.10","31,799,439"
11/09/2023,"226.70","230.50","224.90","230.20","33,945,871"
11/08/2023,"228.00","231.10","227.30","228.60","39,512,500"
11/07/2023,"226.00","228.10","225.60","226.00","31,914,131"
11/06/2023,"227.60","229.00","225.80","226.20","34,519,488"
11/03/2023,"223.10","226.70","219.20","225.70","46,763,168"
11/02/2023,"219.50","228.20","218.70","223.00","76,584,570"
11/01/2023,"220.30","220.70","210.70","218.10","45,713,512"
10/31/2023,"220.60","223.90","216.50","217.30","40,007,633"
10/30/2023,"217.10","221.10","215.80","218.90","35,750,031"
10/27/2023,"214.20","217.90","208.30","217.20","43,258,398"
10/26/2023,"205.00","215.40","203.30","214.20","51,300,520"
10/25/2023,"219.70","224.20","203.00","203.00","50,988,230"
10/24/2023,"213.70","219.00","211.80","218.00","45,914,273"
10/23/2023,"211.90","215.20","208.00","213.70","40,027,781"
10/20/2023,"210.40","211.20","205.20","207.10","35,360,832"
10/19/2023,"216.60","221.10","213.00","213.60","40,254,770"
10/18/2023,"219.70","221.30","216.10","216.50","29,175,980"
10/17/2023,"223.70","225.90","220.00","225.10","33,803,969"
10/16/2023,"228.00","228.30","222.00","223.00","31,816,529"
10/13/2023,"223.80","224.20","219.40","222.20","28,481,740"
10/12/2023,"233.60","235.00","218.70","225.10","37,192,246"
10/11/2023,"237.10","237.40","229.40","230.10","24,968,900"
10/10/2023,"231.20","238.50","230.20","238.10","32,999,871"
10/09/2023,"232.50","233.20","227.20","227.20","30,457,820"
10/06/2023,"238.50","242.90","238.30","238.40","30,707,439"
10/05/2023,"240.40","243.80","232.90","241.50","42,592,527"
10/04/2023,"248.00","249.00","237.50","238.50","37,297,738"
10/03/2023,"253.50","255.60","247.00","247.70","43,106,910"
10/02/2023,"242.50","255.20","241.40","253.40","62,368,840"
09/29/2023,"246.00","249.70","240.60","242.50","52,535,422"
09/28/2023,"231.00","246.10","230.90","243.20","98,226,797"
09/27/2023,"227.90","234.90","227.90","230.40","45,038,488"
09/26/2023,"232.50","236.80","227.30","227.50","48,956,738"
09/25/2023,"227.00","233.20","226.20","232.50","46,696,832"
09/22/2023,"233.00","233.90","226.10","226.10","28,616,391"
09/21/2023,"222.00","232.90","218.30","232.60","45,213,488"
09/20/2023,"226.20","228.20","221.50","223.30","48,974,328"
09/19/2023,"218.30","222.80","214.60","218.60","40,500,871"
09/18/2023,"227.20","228.60","216.50","218.10","39,413,832"
09/15/2023,"236.00","236.00","227.10","227.10","37,299,422"
09/14/2023,"231.80","238.70","227.00","238.50","33,873,289"
09/13/2023,"236.50","238.30","230.80","231.70","24,853,670"
09/12/2023,"235.00","243.20","232.80","236.00","34,852,000"
09/11/2023,"244.20","244.60","232.70","234.50","29,232,670"
09/08/2023,"245.10","249.60","243.30","243.30","28,726,039"
09/07/2023,"245.00","247.50","242.90","244.60","25,076,189"
09/06/2023,"252.50","252.70","245.00","245.00","27,519,631"
09/05/2023,"252.60","254.40","249.10","252.00","24,835,811"
09/04/2023,"255.70","258.60","251.70","252.70","37,823,000"
09/01/2023,"245.10","255.50","241.70","254.00","46,448,039"
08/31/2023,"249.20","252.80","245.00","245.00","24,648,939"
08/29/2023,"256.00","256.00","246.10","247.90","28,511,449"
08/28/2023,"240.00","257.00","239.80","256.00","49,130,898"
08/25/2023,"232.00","239.20","227.30","238.00","35,698,953"
08/24/2023,"240.20","250.20","229.30","230.50","57,986,859"
08/23/2023,"255.40","256.20","239.50","239.70","44,675,391"
08/22/2023,"259.50","263.70","253.20","254.90","47,241,793"
08/21/2023,"250.40","259.60","248.50","259.00","47,451,031"
08/18/2023,"263.00","263.60","249.90","251.40","34,995,719"
08/17/2023,"254.90","262.10","253.20","262.10","37,914,672"
08/16/2023,"260.00","260.50","254.50","254.50","29,171,520"
08/15/2023,"262.80","265.10","256.30","259.70","39,233,281"
08/14/2023,"267.00","267.40","260.40","261.40","39,002,871"
08/11/2023,"259.10","265.70","257.10","265.70","51,008,539"
08/10/2023,"263.70","269.70","257.50","258.50","57,110,922"
08/09/2023,"257.90","264.20","252.60","260.00","55,718,461"
08/08/2023,"267.70","269.80","258.60","261.80","52,411,230"
08/07/2023,"250.00","269.10","249.90","266.90","61,178,801"
08/04/2023,"235.50","251.20","234.90","248.80","61,516,391"
08/03/2023,"237.00","238.40","234.00","235.00","33,328,000"
08/02/2023,"231.00","239.10","230.30","236.50","39,485,328"
08/01/2023,"232.40","235.10","230.70","231.00","28,560,160"
07/31/2023,"235.80","236.60","232.60","234.30","39,359,020"
07/28/2023,"229.20","237.60","228.40","235.00","52,651,754"
07/27/2023,"225.00","228.70","222.50","228.50","41,664,031"
07/26/2023,"217.00","224.10","215.80","224.10","31,818,400"
07/25/2023,"222.00","223.10","217.30","217.30","53,508,461"
07/24/2023,"224.30","226.80","220.60","221.80","44,528,020"
07/21/2023,"225.20","225.50","222.10","223.60","33,459,391"
07/20/2023,"224.60","227.20","222.50","225.20","51,944,230"
07/19/2023,"213.90","224.30","213.10","223.60","56,918,129"
07/18/2023,"219.30","221.00","213.50","214.00","48,487,859"
07/17/2023,"216.00","219.00","214.70","218.80","45,566,648"
07/14/2023,"211.30","214.70","211.20","213.50","38,801,473"
07/13/2023,"211.00","213.70","208.60","209.50","34,627,738"
07/12/2023,"215.50","215.60","210.90","210.90","32,285,240"
07/11/2023,"218.10","218.30","214.60","215.30","34,849,191"
07/10/2023,"216.50","217.70","213.00","214.60","40,701,953"
07/07/2023,"216.20","218.20","214.60","215.20","32,098,189"
07/06/2023,"216.50","220.60","215.50","216.60","50,431,801"
07/05/2023,"208.40","216.50","204.10","216.50","71,942,555"
07/04/2023,"210.50","211.50","207.40","208.10","40,303,641"
07/03/2023,"203.50","211.90","201.20","210.50","61,090,551"
06/27/2023,"190.50","193.70","189.20","193.70","17,673,580"
06/26/2023,"186.00","191.50","185.50","191.00","47,101,848"
06/23/2023,"183.80","186.30","181.50","184.70","48,579,879"
06/22/2023,"169.80","181.80","169.30","180.30","71,946,766"
06/21/2023,"172.10","173.80","168.10","169.40","35,136,246"
06/20/2023,"173.50","174.30","170.60","171.40","37,919,219"
06/19/2023,"181.00","181.80","173.00","174.00","39,071,941"
06/16/2023,"183.40","186.20","180.50","180.70","46,716,941"
06/15/2023,"183.70","184.50","181.50","183.00","40,673,480"
06/14/2023,"177.70","183.00","177.40","182.90","69,548,930"
06/13/2023,"183.30","183.50","176.40","177.80","46,880,488"
06/12/2023,"178.30","185.80","177.60","183.30","64,378,621"
06/09/2023,"172.30","178.10","171.10","176.90","71,672,672"
06/08/2023,"171.60","173.00","168.60","171.60","43,644,441"
06/07/2023,"172.30","174.80","170.50","172.50","58,786,660"
06/06/2023,"164.00","165.80","160.70","165.40","58,022,551"
06/05/2023,"154.50","164.90","153.60","164.50","81,756,531"
06/02/2023,"150.90","151.20","147.40","150.10","47,014,461"
06/01/2023,"145.00","148.60","144.80","147.00","41,558,727"
05/31/2023,"147.30","149.40","143.80","143.80","56,899,512"
05/30/2023,"147.50","148.80","146.10","147.00","64,369,352"
05/29/2023,"147.60","148.60","144.60","146.00","62,138,930"
05/26/2023,"134.70","143.60","134.50","142.30","56,003,621"
05/25/2023,"133.10","136.10","132.60","134.10","28,108,760"
05/24/2023,"134.50","135.60","132.10","132.80","21,555,510"
05/23/2023,"135.50","136.00","133.00","134.40","22,399,039"
05/22/2023,"133.70","137.90","132.40","135.50","42,769,020"
05/18/2023,"137.30","138.80","131.40","132.60","42,944,879"
05/17/2023,"135.90","138.10","134.70","137.10","47,721,000"
05/16/2023,"125.70","136.40","125.60","135.90","52,593,840"
05/15/2023,"129.60","136.00","123.40","124.40","55,104,301"
05/12/2023,"136.70","137.50","131.40","132.60","41,142,031"
05/11/2023,"126.30","138.30","126.30","136.30","58,902,180"
05/10/2023,"129.30","129.90","126.70","126.80","22,097,000"
05/09/2023,"132.00","133.30","128.60","128.80","29,954,131"
05/08/2023,"126.60","133.10","124.80","132.80","27,428,721"
05/05/2023,"127.90","128.80","124.20","125.50","19,374,551"
05/04/2023,"128.00","130.10","127.30","127.70","33,116,820"
05/03/2023,"126.90","129.30","124.10","129.20","38,647,039"
05/02/2023,"128.30","130.40","125.90","126.30","32,713,820"
04/28/2023,"131.40","131.70","125.70","127.80","26,119,211"
04/27/2023,"129.70","133.30","129.60","130.80","31,511,670"
04/26/2023,"133.60","134.00","128.80","130.00","30,837,439"
04/25/2023,"136.60","137.20","133.60","133.70","24,125,590"
04/24/2023,"134.70","136.90","134.40","136.30","27,222,820"
04/20/2023,"134.40","134.60","133.30","134.00","6,183,892"
04/19/2023,"136.20","136.90","133.80","134.70","20,011,400"
04/18/2023,"136.00","137.60","135.30","136.20","25,810,580"
04/17/2023,"134.60","136.20","133.20","135.70","31,052,391"
04/14/2023,"137.30","137.40","134.20","134.40","25,199,699"
04/13/2023,"134.30","138.20","134.20","137.10","38,333,230"
04/12/2023,"133.40","136.00","132.90","133.40","39,282,406"
04/11/2023,"133.30","134.30","132.20","133.00","34,865,871"
04/10/2023,"128.20","133.80","128.10","133.50","46,283,246"
04/07/2023,"127.60","129.50","126.40","127.40","21,950,990"
04/06/2023,"125.40","128.00","125.20","127.20","29,018,381"
04/05/2023,"128.10","129.80","125.30","125.30","33,760,754"
04/04/2023,"120.80","128.70","120.20","128.10","39,989,699"
04/03/2023,"118.30","122.70","115.90","120.80","28,849,721"
03/31/2023,"121.50","121.50","118.50","118.50","18,119,840"
03/30/2023,"124.10","125.40","121.50","121.90","22,890,699"
03/29/2023,"119.00","124.60","117.60","124.60","30,460,760"
03/28/2023,"125.30","125.40","119.40","119.40","23,559,131"
03/27/2023,"129.10","129.30","125.30","125.30","16,795,910"
03/24/2023,"129.20","130.70","126.90","128.40","25,971,779"
03/23/2023,"127.40","129.50","125.80","129.40","21,951,561"
03/22/2023,"124.40","127.90","122.80","127.90","28,343,051"
03/21/2023,"126.80","127.10","122.50","123.90","30,417,590"
03/20/2023,"127.00","129.30","124.70","126.10","29,507,961"
03/17/2023,"133.60","134.40","126.50","126.50","26,317,980"
03/16/2023,"132.00","133.40","130.10","132.20","23,362,090"
03/15/2023,"132.80","134.30","129.60","130.90","25,320,119"
03/14/2023,"136.00","137.30","132.30","132.30","21,213,180"
03/13/2023,"139.90","140.10","135.50","135.80","25,099,830"
03/10/2023,"140.40","141.00","138.40","138.70","20,220,141"
03/09/2023,"140.80","143.30","140.40","140.50","27,001,420"
03/08/2023,"141.00","142.00","139.40","140.10","22,899,600"
03/07/2023,"143.50","144.90","141.00","141.00","40,966,648"
03/06/2023,"140.00","144.50","138.70","142.40","37,723,660"
